city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Győrzámoly,47.7420,17.5780,Hungary,HU,Győr-Moson-Sopron,,3841,3841
Bük,47.3845,16.7509,Hungary,HU,Vas,,3803,3803
Záhony,48.4167,22.1833,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,3780,3780
Felsőpakony,47.3500,19.2500,Hungary,HU,Pest,,3775,3775
Bag,47.6357,19.4837,Hungary,HU,Pest,,3718,3718
Bóly,45.9673,18.5182,Hungary,HU,Baranya,minor,3713,3713
Nyírpazony,47.9833,21.8000,Hungary,HU,Szabolcs-Szatmár-Bereg,,3695,3695
Csobánka,47.6425,18.9678,Hungary,HU,Pest,,3609,3609
Vértesszőlős,47.6188,18.3803,Hungary,HU,Komárom-Esztergom,,3538,3538
Sződ,47.7167,19.2000,Hungary,HU,Pest,,3482,3482
Cserszegtomaj,46.8061,17.2312,Hungary,HU,Zala,,3388,3388
Herend,47.1333,17.7500,Hungary,HU,Veszprém,,3346,3346
Hévizgyörk,47.6316,19.5200,Hungary,HU,Pest,,3330,3330
Gönyů,47.7333,17.8333,Hungary,HU,Győr-Moson-Sopron,,3230,3230
Tuzsér,48.3500,22.1333,Hungary,HU,Szabolcs-Szatmár-Bereg,,3223,3223
Abda,47.6951,17.5419,Hungary,HU,Győr-Moson-Sopron,,3221,3221
Kakucs,47.2500,19.3667,Hungary,HU,Pest,,3150,3150
Csolnok,47.6935,18.7130,Hungary,HU,Komárom-Esztergom,,3079,3079
Harka,47.6333,16.6000,Hungary,HU,Győr-Moson-Sopron,,2998,2998
Baj,47.6495,18.3615,Hungary,HU,Komárom-Esztergom,,2888,2888
Sajólád,48.0436,20.9030,Hungary,HU,Borsod-Abaúj-Zemplén,,2868,2868
Sásd,46.2546,18.1060,Hungary,HU,Baranya,minor,2817,2817
Herceghalom,47.4971,18.7452,Hungary,HU,Pest,,2790,2790
Pócsmegyer,47.7167,19.1000,Hungary,HU,Pest,,2766,2766
Sárisáp,47.6747,18.6810,Hungary,HU,Komárom-Esztergom,,2744,2744
Szigetcsép,47.2667,18.9833,Hungary,HU,Pest,,2740,2740
Múcsony,48.2667,20.6833,Hungary,HU,Borsod-Abaúj-Zemplén,,2705,2705
Forró,48.3242,21.0880,Hungary,HU,Borsod-Abaúj-Zemplén,,2704,2704
Pilisszántó,47.6698,18.8867,Hungary,HU,Pest,,2688,2688
Nagycenk,47.6000,16.7000,Hungary,HU,Győr-Moson-Sopron,,2684,2684
Andornaktálya,47.8444,20.4117,Hungary,HU,Heves,,2645,2645
Péteri,47.3833,19.4167,Hungary,HU,Pest,,2644,2644
Úrhida,47.1306,18.3319,Hungary,HU,Fejér,,2626,2626
Verőcemaros,47.8333,19.0333,Hungary,HU,Pest,,2626,2626
Szigetszentmárton,47.2333,18.9667,Hungary,HU,Pest,,2579,2579
Sajóbábony,48.1742,20.7373,Hungary,HU,Borsod-Abaúj-Zemplén,,2559,2559
Kisbocskaykert,47.6423,21.6583,Hungary,HU,Hajdú-Bihar,,2495,2495
Győrújfalu,47.7224,17.6084,Hungary,HU,Győr-Moson-Sopron,,2490,2490
